old_name,new_name
TFT15_Bastion,Bastion
TFT15_BattleAcademia,Battle_Academia
TFT15_Captain,Captain
TFT15_Destroyer,Executioner
TFT15_DragonFist,Stance_Master
TFT15_Duelist,Duelist
TFT15_Edgelord,Edgelord
TFT15_ElTigre,The_Champ
TFT15_Empyrean,Wraith
TFT15_GemForce,Crystal_Gambit
TFT15_Heavyweight,Heavyweight
TFT15_Juggernaut,Juggernaut
TFT15_Luchador,Luchador
TFT15_MonsterTrainer,Monster_Trainer
TFT15_OldMentor,Mentor
TFT15_Prodigy,Prodigy
TFT15_Protector,Protector
TFT15_Rosemother,Rosemother
TFT15_SentaiRanger,Mighty_Mech
TFT15_Sniper,Sniper
TFT15_SoulFighter,SoulFighter
TFT15_Spellslinger,Sorcerer
TFT15_StarGuardian,Star_Guardian
TFT15_Strategist,Strategist
TFT15_SupremeCells,Supreme_Cells
TFT15_TheCrew,Crew
